Ref,Val,Package,PosX,PosY,Rot,Side
"C2","C_1206_3216Metric","C_1206_3216Metric",44.350000,-109.650000,0.000000,bottom
"C3","C_1206_3216Metric","C_1206_3216Metric",64.400000,-109.650000,0.000000,bottom
"C4","C_1206_3216Metric","C_1206_3216Metric",84.450000,-109.650000,0.000000,bottom
"C5","C_1206_3216Metric","C_1206_3216Metric",104.500000,-109.650000,0.000000,bottom
"C6","C_1206_3216Metric","C_1206_3216Metric",44.350000,-187.310000,0.000000,bottom
"C7","C_1206_3216Metric","C_1206_3216Metric",44.350000,-147.210000,0.000000,bottom
"C8","C_1206_3216Metric","C_1206_3216Metric",64.400000,-187.310000,0.000000,bottom
"C9","C_1206_3216Metric","C_1206_3216Metric",64.400000,-147.210000,0.000000,bottom
"C10","C_1206_3216Metric","C_1206_3216Metric",84.450000,-187.310000,0.000000,bottom
"C11","C_1206_3216Metric","C_1206_3216Metric",84.450000,-147.210000,0.000000,bottom
"C12","C_1206_3216Metric","C_1206_3216Metric",45.675000,-202.560000,180.000000,bottom
"C13","C_1206_3216Metric","C_1206_3216Metric",35.650000,-162.460000,180.000000,bottom
"C14","C_1206_3216Metric","C_1206_3216Metric",35.650000,-122.360000,180.000000,bottom
"C15","C_1206_3216Metric","C_1206_3216Metric",55.700000,-162.460000,180.000000,bottom
"C16","C_1206_3216Metric","C_1206_3216Metric",55.700000,-122.360000,180.000000,bottom
"C17","C_1206_3216Metric","C_1206_3216Metric",75.750000,-202.560000,180.000000,bottom
"C18","C_1206_3216Metric","C_1206_3216Metric",75.750000,-162.460000,180.000000,bottom
"C19","C_1206_3216Metric","C_1206_3216Metric",75.750000,-122.360000,180.000000,bottom
"C20","C_1206_3216Metric","C_1206_3216Metric",102.710000,-194.325000,-90.000000,bottom
"C21","C_1206_3216Metric","C_1206_3216Metric",102.710000,-154.225000,-90.000000,bottom
"C22","C_1206_3216Metric","C_1206_3216Metric",95.800000,-122.360000,180.000000,bottom
"D1","D_1206_3216Metric","D_1206_3216Metric",58.450000,-193.875000,-90.000000,bottom
"D2","D_1206_3216Metric","D_1206_3216Metric",48.425000,-173.825000,-90.000000,bottom
"D3","D_1206_3216Metric","D_1206_3216Metric",48.425000,-153.775000,-90.000000,bottom
"D4","D_1206_3216Metric","D_1206_3216Metric",48.425000,-133.725000,-90.000000,bottom
"D5","D_1206_3216Metric","D_1206_3216Metric",48.425000,-113.675000,-90.000000,bottom
"D6","D_1206_3216Metric","D_1206_3216Metric",68.475000,-173.825000,-90.000000,bottom
"D7","D_1206_3216Metric","D_1206_3216Metric",68.475000,-153.775000,-90.000000,bottom
"D8","D_1206_3216Metric","D_1206_3216Metric",68.475000,-133.725000,-90.000000,bottom
"D9","D_1206_3216Metric","D_1206_3216Metric",68.475000,-113.675000,-90.000000,bottom
"D10","D_1206_3216Metric","D_1206_3216Metric",88.525000,-193.875000,-90.000000,bottom
"D11","D_1206_3216Metric","D_1206_3216Metric",88.525000,-173.825000,-90.000000,bottom
"D12","D_1206_3216Metric","D_1206_3216Metric",88.525000,-153.775000,-90.000000,bottom
"D13","D_1206_3216Metric","D_1206_3216Metric",88.525000,-133.725000,-90.000000,bottom
"D14","D_1206_3216Metric","D_1206_3216Metric",88.525000,-113.675000,-90.000000,bottom
"D15","D_1206_3216Metric","D_1206_3216Metric",94.025000,-181.550000,0.000000,bottom
"D16","D_1206_3216Metric","D_1206_3216Metric",94.025000,-141.450000,0.000000,bottom
"D17","D_1206_3216Metric","D_1206_3216Metric",108.575000,-113.675000,-90.000000,bottom
"D18","D_1206_3216Metric","D_1206_3216Metric",94.425000,-102.650000,0.000000,bottom
"LED1","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",40.000000,-107.250000,0.000000,bottom
"LED2","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",60.050000,-107.250000,0.000000,bottom
"LED3","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",80.100000,-107.250000,0.000000,bottom
"LED4","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",100.150000,-107.250000,0.000000,bottom
"LED5","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",40.000000,-184.910000,0.000000,bottom
"LED6","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",40.000000,-144.810000,0.000000,bottom
"LED7","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",60.050000,-184.910000,0.000000,bottom
"LED8","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",60.050000,-144.810000,0.000000,bottom
"LED9","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",80.100000,-184.910000,0.000000,bottom
"LED10","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",80.100000,-144.810000,0.000000,bottom
"LED11","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",50.025000,-204.960000,180.000000,bottom
"LED12","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",40.000000,-164.860000,180.000000,bottom
"LED13","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",40.000000,-124.760000,180.000000,bottom
"LED14","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",60.050000,-164.860000,180.000000,bottom
"LED15","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",60.050000,-124.760000,180.000000,bottom
"LED16","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",80.100000,-204.960000,180.000000,bottom
"LED17","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",80.100000,-164.860000,180.000000,bottom
"LED18","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",80.100000,-124.760000,180.000000,bottom
"LED19","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",105.110000,-189.975000,-90.000000,bottom
"LED20","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",105.110000,-149.875000,-90.000000,bottom
"LED21","SK6812mini-e","led_SK6812mini-e (per-key, single-side)",100.150000,-124.760000,180.000000,bottom
"C1","470uF 10V","CP_Elec_6.3x7.7",37.000000,-94.867500,180.000000,top
"HOLE1","","MountingHole_2.2mm_M2_Pad_Via",30.975000,-83.225000,0.000000,top
"HOLE2","","MountingHole_2.2mm_M2_Pad_Via",109.175000,-83.225000,0.000000,top
"HOLE3","","MountingHole_2.2mm_M2_Pad_Via",109.175000,-209.025000,0.000000,top
"HOLE4","","MountingHole_2.2mm_M2_Pad_Via",30.975000,-209.025000,0.000000,top
"MCU1","Arduino Pro Micro","Arduino_Pro_Micro",45.500000,-94.867500,90.000000,top
"OLED1","OLED","OLED_headers",64.050000,-101.250000,180.000000,top
"ROT1","EC11","ec11",100.150000,-95.725000,-90.000000,top
"S1","Kailh MX Switch Sockets","MX",50.025000,-200.000000,0.000000,top
"S2","Kailh MX Switch Sockets","MX",40.000000,-179.950000,0.000000,top
"S3","Kailh MX Switch Sockets","MX",40.000000,-159.900000,0.000000,top
"S4","Kailh MX Switch Sockets","MX",40.000000,-139.850000,0.000000,top
"S5","Kailh MX Switch Sockets","MX",40.000000,-119.800000,0.000000,top
"S6","Kailh MX Switch Sockets","MX",60.050000,-179.950000,0.000000,top
"S7","Kailh MX Switch Sockets","MX",60.050000,-159.900000,0.000000,top
"S8","Kailh MX Switch Sockets","MX",60.050000,-139.850000,0.000000,top
"S9","Kailh MX Switch Sockets","MX",60.050000,-119.800000,0.000000,top
"S10","Kailh MX Switch Sockets","MX",80.100000,-200.000000,0.000000,top
"S11","Kailh MX Switch Sockets","MX",80.100000,-179.950000,0.000000,top
"S12","Kailh MX Switch Sockets","MX",80.100000,-159.900000,0.000000,top
"S13","Kailh MX Switch Sockets","MX",80.100000,-139.850000,0.000000,top
"S14","Kailh MX Switch Sockets","MX",80.100000,-119.800000,0.000000,top
"S15","Kailh MX Switch Sockets","MX",100.150000,-189.975000,90.000000,top
"S16","Kailh MX Switch Sockets","MX",100.150000,-149.875000,90.000000,top
"S17","Kailh MX Switch Sockets","MX",100.150000,-119.800000,0.000000,top
